job link,job title,company name,location,work type,jd,requirement,posted time,thumbnail link
https://itviec.com/it-jobs/lead-software-engineer-reactjs-c-net-orient-software-development-corp-4644,Lead Software Engineer (ReactJS/.NET),Orient Software Development Corp.,"Tầng 3 - Dolphin Plaza, 28 Trần Bình, Phường Mỹ Đình 2, Nam Tu Liem, Ha Noi",Hybrid,"
Job description
ResponsibilitiesTechnical Hands-on (80%)
Develop secure, scalable, and maintainable cloud services across our tech stack: C#, .NET, and/or TypeScript, React, Kafka, and Terraform.
Design, develop, review, implement, and manage continuous integration, build management and deployment scripts, systems, and any code as required
Create new customer value in small increments, delivered continuously to production.
Collaborate across teams and functions to help define our architecture and technical roadmap.
Provide robust coding practices, solid unit/component test coverage, and debugging code.
Leadership (20%)
Manage and mentor a small group of other engineers, and create a safe and inclusive environment for the team
Work closely with product managers and designers to solve open-ended customer problems.
Make pragmatic decisions and sensible tradeoffs informed by high-level business objectives.
Mentor and support other engineers while creating a safe and inclusive environment for our diverse team

","
Your skills and experience

At least 8+ years of experience designing, developing, and operating cloud software at scale, with strong hands-on technical and give solutions for the clients.
Solid experience in JavaScript ES6/ Typescript working with ReactJS, and C#, .NET.
Experience in designing & developing RESTful APIs (GraphQL desirable) and microservices based system; troubleshooting and debugging in microservice 
Experience in Cloud computing, especially Amazon Web Services (AWS) 
Experience with unit testing and integration testing
Good English & Vietnamese communication skills, both verbal and written.
Experience with technical leadership and people management, including the ability to mentor and support other engineers.
Ability to manage risk, ambiguity, dependencies, and cross-functional stakeholders.
Ability to align engineering work with high-level organizational goals.
A keen sense of ownership and accountability.
Experience working with distributed teams in global engineering organizations.
Experience in Agile development environments.
Well-versed in writing structured, well-documented, maintainable, and clean code.
Good problem-solving and analytical skills.

",2024-08-21 17:00:13,https://itviec.com/rails/active_storage/representations/proxy/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBM3R5Snc9PSIsImV4cCI6bnVsbCwicHVyIjoiYmxvYl9pZCJ9fQ==--a911c05be8011c3208e928433fe391a73afe8935/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaDdCem9MWm05eWJXRjBTU0lJY0c1bkJqb0dSVlE2RW5KbGMybDZaVjkwYjE5bWFYUmJCMmtCcWpBPSIsImV4cCI6bnVsbCwicHVyIjoidmFyaWF0aW9uIn19--79eee5883893a012786006950460867831e6f661/OSD-Logo2-Black.png
https://itviec.com/it-jobs/senior-automation-test-leader-capgemini-vietnam-1718,Senior Test Leader,Capgemini Vietnam,"106 Nguyen Van Troi, Phu Nhuan, Ho Chi Minh",At office,"
Job description
 Key responsibilities include the following:  
Driving Sprint planning, Test Planning, Test Design, Test Execution & Defect management, Reporting to stakeholders 
Drive an approach for System, Component, SIT and integration test with automation first approach. 
Proficient in creating/ maintaining Test Beds and Test Docs (Like Test Scope, Test Plan, Test Summary Report) for ST and SIT phases. 
Manage/ deliver test execution for the new features in different testing life cycles.
Experience of leading a small team around 6 team members and exhibit leadership qualities- Stakeholder Management and effective communication to project and business team. 
Experience Test Scoping, estimation of efforts, creation test artefacts delivery - Test plan, TSR, daily updates and drive & deliver the ST, SIT testing outcome within agreed timeline and scope. 
Proactively address issues discovered in the software testing, Defect Triage, and prioritisation towards the fixing the issues. 
Create, maintain the automation scripts and suit for SIT flow where applicable. 
Drive an Automation-led approach for testing across company 
Provide insights to quality metrics including trend analysis of discrepancies and defects 
Proactively manage risk, meeting policy and compliance requirements 
Innovate and embed Quality Engineering practices in all facets of your work 
Own, manage and demonstrate uplift from PIRs for continuous improvement on the release process. 
Coach and mentor junior Automation Engineers 
Executing on, and coding automated tests for the Feature, System, and Integrated Systems Testing Phases 
Tracking progress of allocated test designs and test cases to ensure testing deadlines will be met 


Generate test report
Good communication in English is a must

","
Your skills and experience
What you will bring: 
Typically at least 7+ years of automation experience in Web and API testing.
Experience in developing automation framework (web/ api) from scratch and deliver as a service 
Hands-on experience with implementing test tooling, building and maintaining automation frameworks for various application architectures (eg Web, Desktop, Microservices/API, etc) 
Experience in SIT testing with complex integration systems and defect Management. 
API/Microservices testing experience (Both Restful and MQ) 
Proficient in one or more programming language – Java, JavaScript, Python, TypeScript 
Demonstrated experience in leveraging different automation tools & libraries (Java, Selenium, API testing framework, Perfecto, GIT, Jenkins, AutoSDK, Selenium., etc) 
Significant experience working with CI/CD (Jenkins/Harness) or Docker is highly beneficial 
Proficiency in driving the strategy, implementation, and execution of test automation solutions 
Ability to confidently communicate with all levels of management and clearly articulate complex technical issues to peers and stakeholders 


Nice to have: 
Sound experience /knowledge in Financial Crime or Fraud domain 
Working Experience in Banking/finance industry will be well regarded. 

",2024-08-21 17:00:22,https://itviec.com/rails/active_storage/representations/proxy/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBMklvREE9PSIsImV4cCI6bnVsbCwicHVyIjoiYmxvYl9pZCJ9fQ==--0ceb2cfb2315f9f141222d46e386b8d63521d9bb/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaDdCem9MWm05eWJXRjBTU0lJYW5CbkJqb0dSVlE2RW5KbGMybDZaVjkwYjE5bWFYUmJCMmtCcWpBPSIsImV4cCI6bnVsbCwicHVyIjoidmFyaWF0aW9uIn19--89a7283b6fdfb4208cdc2b440a36613a6fae974c/capgemini-vietnam-logo.jpg
https://itviec.com/it-jobs/senior-database-specialist-database-aws-tyme-1918,"Senior Database Specialist (Database, AWS)",Tyme,"Tầng 6 – 7, khu văn phòng, số 277 Võ Nguyên Giáp, phường An Phú, Thành phố Thủ Đức, Thành phố Hồ Chí Minh, Việt Nam, Thu Duc City, Ho Chi Minh",Hybrid,"
Job description
We are looking for an experienced Senior Database Specialist (DBA) in AWS to join our team and play a crucial role in supporting our engineering and business operations. As a DBA, you will be responsible for managing and optimizing our databases on the AWS Cloud platform, as well as collaborating, consulting, reviewing, and designing database solutions with cross-functional teams to ensure successful implementation.Your expertise in AWS services, database administration, and data security will be vital in ensuring the reliability, scalability, and performance of our databases. The ideal candidate is a self-motivated professional with a strong background in AWS Cloud technologies and a passion for optimizing database systems to drive business success. Main Responsibilities:

Database Management: Design, evaluate, consult, and deploy AWS-based database solutions, including RDS (MySQL, PostgreSQL, SQL Server, etc..), Aurora, DynamoDB and other database services that ensure high availability, scalability, and performance.

Performance Tuning: Monitor and optimize database performance, proactively identifying and resolving performance issues, resource utilization and scalability.

Backup & Recovery: Implement and manage robust AWS Backup, recovery and disaster recovery solutions, ensuring data integrity and availability.

Migration & Upgrades: Plan and execute database migration, upgrades, and data migration tasks with minimal downtime and description to services.

Collaboration: Work closely with development teams to optimize database schemas and queries for improved application performance to meet business requirements.

Security Management: Implement and enforce security measures to protect sensitive data and ensure compliance with data protection regulations

Consulting: Troubleshoot and resolve database-related issues, providing timely and effective technical support.
Stay updated with AWS best practices and industry trends, recommending and implementing improvements as needed.

","
Your skills and experience
Must-have skills:
Bachelor's or Master's degree in Computer Science, Information Technology, or a related field.
Proven work experience as a Database Administrator with a focus on AWS Cloud technologies
In-depth knowledge of AWS services related to databases, such as Amazon RDS, Amazon Aurora, Amazon DynamoDB, etc.
Proficiency in database administration, optimization, and performance tuning on AWS
Experience with database security and implementing access controls on the AWS platform
Strong understanding of data migration, backup, and disaster recovery strategies on AWS.]
Familiarity with scripting and automation using the AWS CLI, Python, or other relevant languages.
Excellent problem-solving skills and the ability to diagnose and resolve complex database issues.
Strong communication and collaboration skills to work effectively with cross-functional teams.
Experience in SDLC and Agile methodologies.
Ability to work independently and as part of a team.
Nice-to-have:
Experience in the banking or finance industry is a plus.
AWS certification(s) related to database administration is a plus.

",2024-08-21 16:19:31,https://itviec.com/rails/active_storage/representations/proxy/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBK0xPTEE9PSIsImV4cCI6bnVsbCwicHVyIjoiYmxvYl9pZCJ9fQ==--e622a8382b21b032819f520d792bef976ace053e/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaDdCem9MWm05eWJXRjBTU0lJY0c1bkJqb0dSVlE2RW5KbGMybDZaVjkwYjE5bWFYUmJCMmtCcWpBPSIsImV4cCI6bnVsbCwicHVyIjoidmFyaWF0aW9uIn19--79eee5883893a012786006950460867831e6f661/TX_RGB_Primary_onWhite.png
https://itviec.com/it-jobs/senior-devops-engineer-aws-cloud-tyme-1410,"Senior DevOps Engineer (AWS,Cloud)",Tyme,"Tầng 6 – 7, khu văn phòng, số 277 Võ Nguyên Giáp, phường An Phú, Thành phố Thủ Đức, Thành phố Hồ Chí Minh, Việt Nam, Thu Duc City, Ho Chi Minh",Hybrid,"
Job description
We are seeking an experienced Senior DevOps Engineer (AWS) to join our team and play a crucial role in supporting our engineering and business operations.  The ideal candidate will be responsible for the implementation of tools and processes which enable rapid development and deployment of software.Your mission is to embrace continuous integration/deployment in a delivery pipeline that will perform automated quality checks, deploy cloud infrastructure and applications quickly, and provide operational tooling and metrics that can be consumed by development teams. To be successful, you will have a blend of development experience and operational experience that provides a good understanding of the developers you are working with, while also balancing critical systems uptime.
","
Your skills and experience

Contribute to developing continuous delivery, automation, and building pipelines to create an excellent experience for developers and customers
Identify and develop opportunities to improve our processes and tools for automation
Learn new skills and help foster a continuous delivery and cloud-first mindset
Manage your day-to-day workload and requests using agile practices as part of a team and community
Periodic after-hours on-call support is required with over-time
Ability to travel occasionally (up to 10% of the year)

",2024-08-21 16:14:40,https://itviec.com/rails/active_storage/representations/proxy/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBK0xPTEE9PSIsImV4cCI6bnVsbCwicHVyIjoiYmxvYl9pZCJ9fQ==--e622a8382b21b032819f520d792bef976ace053e/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaDdCem9MWm05eWJXRjBTU0lJY0c1bkJqb0dSVlE2RW5KbGMybDZaVjkwYjE5bWFYUmJCMmtCcWpBPSIsImV4cCI6bnVsbCwicHVyIjoidmFyaWF0aW9uIn19--79eee5883893a012786006950460867831e6f661/TX_RGB_Primary_onWhite.png
https://itviec.com/it-jobs/process-quality-assurance-lg-cns-viet-nam-0416,Process Quality Assurance,LG CNS Việt Nam,"Tầng 15, tòa Keangnam Landmark 72, Mễ Trì, Nam Tu Liem, Ha Noi",At office,"
Job description

Build a plan and participate in the implementation of inspections and assessment of process compliance.
Evaluate standards and quality of products and services according to the checklist before implementation.
Detect Risky Elements that potentially affect Project Quality
Guide the team to understand and implement the process
Support the team to analyze and solve problems during implementation

","
Your skills and experience

University degree in a related major.
Have 1 or more years of experience in IT - PQA.
Good knowledge of software development models, Agile / Scrum, Waterfall, V-model 
Process building skills, report writing skills, clear presentation skills; proficient in using the JIRA tool.
Foreign languages: English, TOEIC ~650, TOEIC Speaking ~110
[Nice to have]
Able to communicate in Korean
Project management experience

",2024-08-21 16:07:49,https://itviec.com/rails/active_storage/representations/proxy/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBOTcyT0E9PSIsImV4cCI6bnVsbCwicHVyIjoiYmxvYl9pZCJ9fQ==--32d6172bf24e4059d1cd60f13bd35724501d4db1/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaDdCem9MWm05eWJXRjBTU0lJYW5CbkJqb0dSVlE2RW5KbGMybDZaVjkwYjE5bWFYUmJCMmtCcWpBPSIsImV4cCI6bnVsbCwicHVyIjoidmFyaWF0aW9uIn19--89a7283b6fdfb4208cdc2b440a36613a6fae974c/LG-announces-new-brand-identity-02-2.jpg
https://itviec.com/it-jobs/application-management-devops-aws-non-core-banking-abbank-1913,"Application Management (DevOps, AWS) - Non-core banking",ABBANK,"36 Hoàng Cầu, Dong Da, Ha Noi",At office,"
Job description

Thực hiện các tác vụ kiểm tra đầu ngày (checklist) trên các hệ thống ứng dụng.
Theo dõi, giám sát và duy trì hoạt động của hệ thống ứng dụng.
Tiếp nhận, xử lý các yêu cầu liên quan đến hệ thống ứng dụng.
Cấu hình sao lưu ứng dụng, đảm bảo khả năng phục hồi dữ liệu đầy đủ, chính xác và kịp thời của ứng dụng.
Triển khai thực thi luồng tích hợp CI/CD Pipeline đảm bảo chất lượng, độ tin cậy cũng như tuân thủ các tiêu chuẩn, quy định về bảo mật.
Giám sát, phát hiện các vấn đề ảnh hưởng hiệu năng ứng dụng, phối hợp các đơn vị liên quan trong công tác tối ưu hiệu năng ứng dụng.
Phối hợp các đơn vị trong quá trình xử lý sự cố phát sinh.
Thực hiện cài đặt, cấu hình và kiểm thử các giải pháp nâng cao tính sẵn sàng và liên tục của ứng dụng.
Tham gia xây dựng, rà soát, cập nhật các hệ thống ứng dụng theo tiêu chuẩn đã ban hành.

","
Your skills and experience
Bằng cấp: Tốt nghiệp Cao đẳng/Đại học trở lên chuyên ngành Công nghệ thông tin / Điện tử Viễn thông hoặc tương đương.
Tối thiểu 03 năm kinh nghiệm quản lý và vận hành ứng dụng.
Có kinh nghiệm triển khai các ứng dụng trên nền tảng container như Kubernetes/OpenShift là một lợi thế.
Ưu tiên ứng viên có bằng cấp, chứng chỉ chuyên môn về cloud của AWS, GCP, Azure.
Ưu tiên ứng viên có bằng cấp, chứng chỉ chuyên môn về DevOps, DevSecOps.
Yêu cầu chuyên môn
Có khả năng cài đặt, cấu hình các ứng dụng trên nền tảng IIS, WebLogic, Apache...
Có khả năng sử dụng các công cụ CI/CD, DevOps, DevSecOps, GitOps...
Có khả năng làm việc với các hệ thống Active Directory, Microsoft Exchange, Microsoft 365 là một lợi thế.
Có khả năng đọc hiểu thiết kế hệ thống
Có khả năng đọc hiểu và phân tích log ứng dụng, xác định nguyên nhân vấn đề.
Có khả năng khai thác dữ liệu trên Oracle, SQL Server...
Có khả năng quản lý, vận hành ứng dụng trên nền tảng Windows, Linux và sử dụng shell script phục vụ công việc.
Có hiểu biết về các ngôn ngữ lập trình như Java, Javascript, .NET hoặc tương đương
Có hiểu biết về các tiêu chuẩn an toàn thông tin như ISO 27000, PCI-DSS... là một lợi thế.
Yêu cầu khác
Ngoại ngữ: có khả năng đọc hiểu tốt và dịch các tài liệu kỹ thuật chuyên ngành; có khả năng giao tiếp bằng tiếng Anh.
Có kỹ năng làm việc nhóm, lập kế hoạch, phân tích và xử lý tình huống, có khả năng tự học, tự đào tạo.
Có kỹ năng giao tiếp, trình bày tốt.
Trung thực, nhiệt tình và có đạo đức nghề nghiệp tốt.
Chấp nhận đi công tác và hỗ trợ công việc phát sinh ngoài giờ.

",2024-08-21 16:07:58,https://itviec.com/rails/active_storage/representations/proxy/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBOExhSWc9PSIsImV4cCI6bnVsbCwicHVyIjoiYmxvYl9pZCJ9fQ==--d257e70c6585afdab6d5516fdec5419a75319c18/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaDdCem9MWm05eWJXRjBTU0lJY0c1bkJqb0dSVlE2RW5KbGMybDZaVjkwYjE5bWFYUmJCMmtCcWpBPSIsImV4cCI6bnVsbCwicHVyIjoidmFyaWF0aW9uIn19--79eee5883893a012786006950460867831e6f661/logo.png
https://itviec.com/it-jobs/data-architect-khoi-du-lieu-ho24-87-mb-bank-3641,Data Architect (Software Architect) - Khối Dữ Liệu,MB Bank,"Tòa nhà MB, số 18 Lê Văn Lương, Cau Giay, Ha Noi",At office,"
Job description

Hoạch định chiến lược kiến trúc dữ liệu tại MB.
Xây dựng, quản lý các chính sách, tiêu chuẩn về kiến trúc tổng thể, đặc biệt là mảng dữ liệu.
Tham gia triển khai và đảm bảo tiêu chuẩn kiến trúc được áp dụng vào các dự án/yêu cầu phát triển.
Đánh giá và cho ý kiến về các thay đổi kiến trúc trong các dự án, công việc có liên quan đến thay đổi kiến trúc.
Rà soát, đánh giá, xây dựng và chuẩn hóa các phương án cải tiến kiến trúc.
Nghiên cứu xu hướng chuyển đổi kinh doanh, xu hướng công nghệ và các giải pháp để tham mưu cho các cấp lãnh đạo trong việc ứng dụng tại MB.""

","
Your skills and experience
1. Kiến thức: Tốt nghiệp Đại học/Cao học trở lên, chuyên ngành CNTT hoặc Toán tin2. Kinh nghiệm làm việc:
Trên 5 năm kinh nghiệm làm việc trong/hoặc với ngân hàng hoặc/và các tổ chức tín dụng
Có kinh nghiệm tư vấn, thiết kế và xây dựng giải pháp dữ liệu
Từng tham gia phát triển phần mềm dữ liệu hoặc triển khai các giải pháp dữ liệ

",2024-08-21 16:08:15,https://itviec.com/rails/active_storage/representations/proxy/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBMmZvSXc9PSIsImV4cCI6bnVsbCwicHVyIjoiYmxvYl9pZCJ9fQ==--88c82102b4c6782414b90e4077f75449b9789560/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaDdCem9MWm05eWJXRjBTU0lJY0c1bkJqb0dSVlE2RW5KbGMybDZaVjkwYjE5bWFYUmJCMmtCcWpBPSIsImV4cCI6bnVsbCwicHVyIjoidmFyaWF0aW9uIn19--79eee5883893a012786006950460867831e6f661/Logo%20MB%20he%20mau%20RGB%2001.png
https://itviec.com/it-jobs/data-engineer-khoi-du-lieu-ho24-86-mb-bank-3437,Data Engineer ( Database/ Oracle/ AWS) - Khối Dữ liệu,MB Bank,"Tòa nhà MB, số 18 Lê Văn Lương, Cau Giay, Ha Noi",At office,"
Job description

Thực hiện công việc tích hợp, phát triển dữ liệu, hỗ trợ vận hành hệ thống công nghệ dữ liệu trong mảng chức năng được giao đảm bảo đúng quy trình, quy định của MB nhằm thực hiện thành công mục tiêu chung của đơn vị.
Tự phát triển hoặc phối hợp cùng các nhà cung cấp phát triển/triển khai các giải pháp Công nghệ dữ liệu theo các công việc được phân công.
Duy trì hoạt động của các sản phẩm/dịch vụ được phân công.
Nghiên cứu, tìm kiếm, tham mưu các giải pháp/sáng kiến Công nghệ dữ liệu và đề xuất nhà cung cấp đáp ứng yêu cầu của công việc.
Phát triển, kiểm thử (Unit test), nghiệm thu và hỗ trợ mức 2 (Level 2) các sản phẩm và dịch vụ Công nghệ dữ liệu

","
Your skills and experience

Tốt nghiệp Cử nhân chuyên ngành Công nghệ thông tin, Điện tử viễn thông hoặc tương đương
Ưu tiên có một trong các chứng chỉ nghề quốc tế về lập trình phát triển dữ liệu về Oracle (Oracle Certified Associate (OCA), Oracle Certified Professional (OCP), Oracle Certified Master (OCM), Oracle Certified Expert (OCE) và Specialist cho Oracle Database 12c...), Netezza, BI Tableau, BI publisher, Cloud ( AWS Certified Solutions Architect, AWS Certified Developer – Associate, ...)
Toeic 450 hoặc chứng chỉ tương đương

",2024-08-21 16:08:24,https://itviec.com/rails/active_storage/representations/proxy/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBMmZvSXc9PSIsImV4cCI6bnVsbCwicHVyIjoiYmxvYl9pZCJ9fQ==--88c82102b4c6782414b90e4077f75449b9789560/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaDdCem9MWm05eWJXRjBTU0lJY0c1bkJqb0dSVlE2RW5KbGMybDZaVjkwYjE5bWFYUmJCMmtCcWpBPSIsImV4cCI6bnVsbCwicHVyIjoidmFyaWF0aW9uIn19--79eee5883893a012786006950460867831e6f661/Logo%20MB%20he%20mau%20RGB%2001.png
https://itviec.com/it-jobs/technical-lead-viettel-software-services-a-member-of-viettel-group-5355,Technical Lead,Viettel Software Services (A Member of Viettel Group),"Tòa nhà Thành Công, 80 Dịch Vọng Hậu, Cau Giay, Ha Noi",At office,"
Job description

Phân tích yêu cầu kỹ thuật của sản phẩm, lựa chọn công nghệ và xây dựng kiến trúc hệ thống cho sản phẩm và hệ thống nội bộ của công ty
Là người định hướng và đưa ra các giải pháp kỹ thuật cho các dự án của công ty 
Sizing hệ thống
Đánh giá cấu trúc hệ thống hiện tại, đề xuất các giải pháp để cải thiện hệ thống, giám sát và hướng dẫn team dev thực hiện các giải pháp đưa ra
Giải quyết các vấn đề kỹ thuật phát sinh
Nghiên cứu các công nghệ hiện và đề xuất thay đổi khi cần thiết

","
Your skills and experience

Có ít nhất 5 năm kinh nghiệm làm việc trong lĩnh vực phát triển phần mềm. 
Hiểu biết sâu rộng về các ngôn ngữ lập trình và framework như Java/Python và các công nghệ web. 
Có kinh nghiệm với các phương pháp phát triển phần mềm như Agile, Scrum, và DevOps. 
Đã từng làm việc trong vị trí teamlead trong dự án phần mềm. Hiểu biết về quản lý dự án, kế hoạch hóa, và theo dõi tiến độ dự án. 
Có kiến thức về các khái niệm kỹ thuật như an toàn thông tin, hiệu năng, tính sẵn sàng của hệ thống,..
Có kinh nghiệm làm việc với các công nghệ tích hợp như Redis, Kafka, Nginx, API Gateway... 
Có kinh nghiệm về tối ưu database, SQL, source code.
Có khả năng giải quyết các vấn đề kỹ thuật phức tạp và đưa ra các giải pháp hiệu quả. 
Có khả năng viết báo cáo và tài liệu kỹ thuật một cách rõ ràng và dễ hiểu. 
Sử dụng thành thạo các công cụ quản lý mã nguồn như Git, SVN. 
Có kinh nghiệm triển khai và làm việc trên nền tàng Microservices, CI/CD
Hiểu biết về quản lý cơ sở dữ liệu và các công nghệ liên quan.

",2024-08-21 16:08:32,https://itviec.com/rails/active_storage/representations/proxy/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBeGFEVGc9PSIsImV4cCI6bnVsbCwicHVyIjoiYmxvYl9pZCJ9fQ==--b07579166f61966f508e32bc6ca6ac13e9c9dabd/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaDdCem9MWm05eWJXRjBTU0lJY0c1bkJqb0dSVlE2RW5KbGMybDZaVjkwYjE5bWFYUmJCMmtCcWpBPSIsImV4cCI6bnVsbCwicHVyIjoidmFyaWF0aW9uIn19--79eee5883893a012786006950460867831e6f661/logo%20VTIT.png
https://itviec.com/it-jobs/5-business-analyst-sql-erp-ke-toan-up-to-1500-lac-viet-computing-corporation-2217,"5 Business Analyst (SQL, ERP/Kế Toán) Up to $1500",Lac Viet Computing Corporation,"23 Nguyen Thi Huynh, Phu Nhuan, Ho Chi Minh",At office,"
Job description

Tiếp nhận yêu cầu từ IC, khảo sát yêu cầu từ khách hàng.
Phân tích yêu cầu, phân tích nghiệp vụ, mô tả quy trình.
Viết Use case, Scenarios.
Thiết kế giao diện, thiết hế dữ liệu, Prototypes.
Soạn thảo tài liệu nghiệp vụ để chuyển DEV.
Kiểm thử(User Experience) những nội dung BA chuyển DEV.
 
","
Your skills and experience

Tốt nghiệp Đại học chuyên ngành CNTT.
Có kinh nghiệm BA về kế toán hoặc ERP từ 2 năm trở lên.
Ưu tiên có kinh nghiệm nghiệm thiết kế Phần mềm CRM, Tài Chính, Kế toán, Quản trị sản xuất là lợi thế.
Thành thạo Cơ sở dữ liệu SQL.
Chịu khó & hòa đồng, phối hợp làm việc nhóm tốt.

",2024-08-21 16:08:41,https://itviec.com/rails/active_storage/representations/proxy/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBMHNQRUE9PSIsImV4cCI6bnVsbCwicHVyIjoiYmxvYl9pZCJ9fQ==--dd4df5f405de0fce7c862151d5701362ef3a8a89/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaDdCem9MWm05eWJXRjBTU0lJY0c1bkJqb0dSVlE2RW5KbGMybDZaVjkwYjE5bWFYUmJCMmtCcWpBPSIsImV4cCI6bnVsbCwicHVyIjoidmFyaWF0aW9uIn19--79eee5883893a012786006950460867831e6f661/lac-viet-computing-corporation-logo.png
